Rake Num,Start Stn,Start Time,End Stn,End Time,Duty Num
714,IPE,13:14,PBGW UP,14:14,210
714,PBGW UP,14:14,MKPR,14:29,422
714,MKPR,14:30,KKDA UP,15:07,422
714,KKDA UP,15:07,IPE,15:14,427
714,IPE,15:14,PBGW UP,16:14,427
714,PBGW UP,16:14,MKPR,16:29,427
714,MKPR,16:30,KKDA UP,17:07,427
714,KKDA UP,17:07,IPE,17:14,432
714,IPE,17:14,PBGW UP,18:14,432
714,PBGW UP,18:14,MKPR,18:29,240
714,MKPR,18:30,KKDA UP,19:07,240
714,KKDA UP,19:07,IPE,19:14,235
714,IPE,19:14,PBGW UP,20:14,235
714,PBGW UP,20:14,MKPR,20:29,435
714,MKPR,20:30,KKDA UP,21:07,435
714,KKDA UP,21:07,IPE,21:14,433
714,IPE,21:14,PBGW UP,22:14,433
714,PBGW UP,22:14,MKPR,22:29,433
714,MKPR,22:30,MUPR,22:52,433
714,MUPR,22:52,MUPR 4TH PF STABLE,23:12,433
 , , , , , 
715,MKPR,06:41,PBGW DN,06:55,211
715,PBGW DN,06:55,IPE,07:54,211
715,IPE,07:54,KKDA DN,08:01,211
715,KKDA DN,08:01,MKPR,08:39,211
715,MKPR,08:40,PBGW DN,08:54,211
715,PBGW DN,08:54,IPE,09:53,210
715,IPE,09:53,KKDA DN,10:00,210
715,KKDA DN,10:00,MKPR,10:38,402
715,MKPR,10:38,PBGW DN,10:53,402
715,PBGW DN,10:53,IPE,11:52,402
715,IPE,11:52,KKDA DN,11:59,402
715,KKDA DN,11:59,MKPR,12:36,420
715,MKPR,12:37,PBGW DN,12:52,420
715,PBGW DN,12:52,IPE,13:51,420
715,IPE,13:51,KKDA DN,13:57,420
715,KKDA DN,13:57,MKPR,14:35,417
715,MKPR,14:36,PBGW DN,14:50,417
715,PBGW DN,14:50,IPE,15:49,417
715,IPE,15:49,KKDA DN,15:56,417
715,KKDA DN,15:56,MKPR,16:34,423
715,MKPR,16:35,PBGW DN,16:49,423
715,PBGW DN,16:49,IPE,17:48,423
715,IPE,17:48,KKDA DN,17:55,423
715,KKDA DN,17:55,MKPR,18:33,436
715,MKPR,18:33,PBGW DN,18:48,436
715,PBGW DN,18:48,IPE,19:47,225
715,IPE,19:47,KKDA DN,19:54,225
715,KKDA DN,19:54,MKPR,20:31,225
715,MKPR,20:32,PBGW DN,20:47,225
715,PBGW DN,20:47,IPE,21:46,231
715,IPE,21:46,KKDA DN,21:52,231
715,KKDA DN,21:52,MKPR,22:30,231
715,MKPR,22:32,PBGW DN,22:47,231
715,PBGW DN,22:47,MVPO,23:35,437
715,MVPO,23:35,MVPO DN PF  STABLE,23:55,437
 , , , , , 
716,MKPR,06:40,KKDA UP,07:17,210
716,KKDA UP,07:17,IPE,07:24,210
716,IPE,07:24,PBGW UP,08:24,210
716,PBGW UP,08:24,MKPR,08:39,206
716,MKPR,08:40,KKDA UP,09:17,206
716,KKDA UP,09:17,IPE,09:24,411
716,IPE,09:24,PBGW UP,10:24,411
716,PBGW UP,10:24,MKPR,10:39,219
716,MKPR,10:40,KKDA UP,11:17,219
716,KKDA UP,11:17,IPE,11:24,219
716,IPE,11:24,PBGW UP,12:24,219
716,PBGW UP,12:24,MKPR,12:39,212
716,MKPR,12:40,KKDA UP,13:17,212
716,KKDA UP,13:17,IPE,13:24,212
716,IPE,13:24,PBGW UP,14:24,212
716,PBGW UP,14:24,MKPR,14:39,421
716,MKPR,14:40,KKDA UP,15:17,421
716,KKDA UP,15:17,IPE,15:24,428
716,IPE,15:24,PBGW UP,16:24,428
716,PBGW UP,16:24,MKPR,16:39,428
716,MKPR,16:40,KKDA UP,17:17,428
716,KKDA UP,17:17,IPE,17:24,420
716,IPE,17:24,PBGW UP,18:24,420
716,PBGW UP,18:24,MKPR,18:39,420
716,MKPR,18:40,KKDA UP,19:17,420
716,KKDA UP,19:17,IPE,19:24,236
716,IPE,19:24,PBGW UP,20:24,236
716,PBGW UP,20:24,MKPR,20:39,438
716,MKPR,20:40,KKDA UP,21:17,438
716,KKDA UP,21:17,IPE,21:24,432
716,IPE,21:24,PBGW UP,22:24,432
716,PBGW UP,22:24,MKPR,22:39,432
716,MKPR,22:40,KKDA UP,23:17,432
716,KKDA UP,23:17,IPE,23:24,432
 , , , , , 
717,MKPR,07:11,PBGW DN,07:25,214
717,PBGW DN,07:25,IPE,08:24,214
717,IPE,08:24,KKDA DN,08:31,214
717,KKDA DN,08:31,MKPR,09:09,409
717,MKPR,09:10,PBGW DN,09:24,409
717,PBGW DN,09:24,IPE,10:23,201
717,IPE,10:23,KKDA DN,10:30,201
717,KKDA DN,10:30,MKPR,11:08,204
717,MKPR,11:08,PBGW DN,11:23,204
717,PBGW DN,11:23,IPE,12:22,411
717,IPE,12:22,KKDA DN,12:29,411
717,KKDA DN,12:29,MKPR,13:06,413
717,MKPR,13:07,PBGW DN,13:22,413
717,PBGW DN,13:22,IPE,14:21,413
717,IPE,14:21,KKDA DN,14:27,413
717,KKDA DN,14:27,MKPR,15:05,425
717,MKPR,15:06,PBGW DN,15:20,425
717,PBGW DN,15:20,IPE,16:19,425
717,IPE,16:19,KKDA DN,16:26,425
717,KKDA DN,16:26,MKPR,17:04,220
717,MKPR,17:05,PBGW DN,17:19,220
717,PBGW DN,17:19,IPE,18:18,234
717,IPE,18:18,KKDA DN,18:25,234
717,KKDA DN,18:25,MKPR,19:03,424
717,MKPR,19:03,PBGW DN,19:18,424
717,PBGW DN,19:18,IPE,20:17,424
717,IPE,20:17,KKDA DN,20:24,424
717,KKDA DN,20:24,MKPR,21:01,431
717,MKPR,21:02,PBGW DN,21:17,431
717,PBGW DN,21:17,IPE,22:16,431
717,IPE,22:16,KKDA DN,22:22,431
717,KKDA DN,22:22,MKPR,23:00,236
717,MKPR,23:02,PBGW DN,23:16,236
717,PBGW DN,23:16,DDSC,23:34,236
717,DDSC,23:34,DDSC DN PF STABLE,23:54,236
 , , , , , 
718,MKPR,06:50,KKDA UP,07:27,212
718,KKDA UP,07:27,IPE,07:34,212
718,IPE,07:34,PBGW UP,08:34,212
718,PBGW UP,08:34,MKPR,08:49,218
718,MKPR,08:50,KKDA UP,09:27,218
718,KKDA UP,09:27,IPE,09:34,218
718,IPE,09:34,PBGW UP,10:34,218
718,PBGW UP,10:34,MKPR,10:49,207
718,MKPR,10:50,KKDA UP,11:27,207
718,KKDA UP,11:27,IPE,11:34,207
718,IPE,11:34,PBGW UP,12:34,207
718,PBGW UP,12:34,MKPR,12:49,223
718,MKPR,12:50,KKDA UP,13:27,223
718,KKDA UP,13:27,IPE,13:34,223
718,IPE,13:34,PBGW UP,14:34,223
718,PBGW UP,14:34,MKPR,14:49,220
718,MKPR,14:50,KKDA UP,15:27,220
718,KKDA UP,15:27,IPE,15:34,424
718,IPE,15:34,PBGW UP,16:34,424
718,PBGW UP,16:34,MKPR,16:49,424
718,MKPR,16:50,KKDA UP,17:27,424
718,KKDA UP,17:27,IPE,17:34,426
718,IPE,17:34,PBGW UP,18:34,426
718,PBGW UP,18:34,MKPR,18:49,426
718,MKPR,18:50,KKDA UP,19:27,426
718,KKDA UP,19:27,IPE,19:34,238
718,IPE,19:34,PBGW UP,20:34,238
718,PBGW UP,20:34,MKPR,20:49,233
718,MKPR,20:50,KKDA UP,21:27,233
718,KKDA UP,21:27,IPE,21:34,436
718,IPE,21:34,PBGW UP,22:34,436
718,PBGW UP,22:34,MKPR,22:49,436
718,MKPR,22:50,KKDA UP,23:27,436
718,KKDA UP,23:27,IPE,23:34,436
 , , , , , 
719,IPE,05:35,KKDA DN,05:41,406
719,KKDA DN,05:41,MKPR,06:21,406
719,MKPR,06:21,PBGW DN,06:35,406
719,PBGW DN,06:35,IPE,07:34,406
719,IPE,07:34,KKDA DN,07:41,406
719,KKDA DN,07:41,MKPR,08:19,414
719,MKPR,08:20,PBGW DN,08:34,414
719,PBGW DN,08:34,IPE,09:33,414
719,IPE,09:33,KKDA DN,09:40,414
719,KKDA DN,09:40,MKPR,10:18,410
719,MKPR,10:18,PBGW DN,10:33,410
719,PBGW DN,10:33,IPE,11:32,215
719,IPE,11:32,KKDA DN,11:39,215
