,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
188,702,MKPR,09:40,KKDA UP,10:17,UP,37
189,719,KKDA DN,09:40,MKPR,10:18,DN,38
190,709,MKPR,09:40,PBGW DN,09:54,DN,14
191,721,IPE,09:43,KKDA DN,09:50,DN,7
192,701,PBGW DN,09:44,IPE,10:43,DN,59
193,720,IPE,09:44,PBGW UP,10:44,UP,60
194,712,PBGW UP,09:44,MKPR,09:59,UP,15
195,722,KKDA UP,09:47,IPE,09:54,UP,7
196,710,MKPR,09:50,KKDA UP,10:27,UP,37
197,721,KKDA DN,09:50,MKPR,10:28,DN,38
198,711,MKPR,09:50,PBGW DN,10:04,DN,14
199,715,IPE,09:53,KKDA DN,10:00,DN,7
200,704,PBGW UP,09:54,MKPR,10:09,UP,15
201,722,IPE,09:54,PBGW UP,10:54,UP,60
202,709,PBGW DN,09:54,IPE,10:53,DN,59
203,724,KKDA UP,09:57,IPE,10:04,UP,7
204,703,MKPR,09:58,PBGW DN,10:13,DN,15
205,715,KKDA DN,10:00,MKPR,10:38,DN,38
206,712,MKPR,10:00,KKDA UP,10:37,UP,37
207,723,IPE,10:03,KKDA DN,10:10,DN,7
208,724,IPE,10:04,PBGW UP,11:04,UP,60
209,708,PBGW UP,10:04,MKPR,10:19,UP,15
210,711,PBGW DN,10:04,IPE,11:03,DN,59
211,706,KKDA UP,10:07,IPE,10:14,UP,7
212,713,MKPR,10:08,PBGW DN,10:23,DN,15
213,704,MKPR,10:10,KKDA UP,10:47,UP,37
214,723,KKDA DN,10:10,MKPR,10:48,DN,38
215,707,IPE,10:13,KKDA DN,10:20,DN,7
216,703,PBGW DN,10:13,IPE,11:12,DN,59
217,714,PBGW UP,10:14,MKPR,10:29,UP,15
218,706,IPE,10:14,PBGW UP,11:14,UP,60
219,702,KKDA UP,10:17,IPE,10:24,UP,7
220,719,MKPR,10:18,PBGW DN,10:33,DN,15
221,707,KKDA DN,10:20,MKPR,10:58,DN,38
222,708,MKPR,10:20,KKDA UP,10:57,UP,37
223,713,PBGW DN,10:23,IPE,11:22,DN,59
224,717,IPE,10:23,KKDA DN,10:30,DN,7
225,716,PBGW UP,10:24,MKPR,10:39,UP,15
226,702,IPE,10:24,PBGW UP,11:24,UP,60
227,710,KKDA UP,10:27,IPE,10:34,UP,7
228,721,MKPR,10:28,PBGW DN,10:43,DN,15
229,717,KKDA DN,10:30,MKPR,11:08,DN,38
230,714,MKPR,10:30,KKDA UP,11:07,UP,37
231,719,PBGW DN,10:33,IPE,11:32,DN,59
232,705,IPE,10:33,KKDA DN,10:40,DN,7
233,710,IPE,10:34,PBGW UP,11:34,UP,60
234,718,PBGW UP,10:34,MKPR,10:49,UP,15
235,712,KKDA UP,10:37,IPE,10:44,UP,7
236,715,MKPR,10:38,PBGW DN,10:53,DN,15
237,705,KKDA DN,10:40,MKPR,11:18,DN,38
238,716,MKPR,10:40,KKDA UP,11:17,UP,37
239,721,PBGW DN,10:43,IPE,11:42,DN,59
240,701,IPE,10:43,KKDA DN,10:50,DN,7
241,720,PBGW UP,10:44,MKPR,10:59,UP,15
242,712,IPE,10:44,PBGW UP,11:44,UP,60
243,704,KKDA UP,10:47,IPE,10:54,UP,7
244,723,MKPR,10:48,PBGW DN,11:03,DN,15
245,701,KKDA DN,10:50,MKPR,11:28,DN,38
246,718,MKPR,10:50,KKDA UP,11:27,UP,37
247,709,IPE,10:53,KKDA DN,11:00,DN,7
248,715,PBGW DN,10:53,IPE,11:52,DN,59
249,722,PBGW UP,10:54,MKPR,11:09,UP,15
250,704,IPE,10:54,PBGW UP,11:54,UP,60
251,708,KKDA UP,10:57,IPE,11:04,UP,7
252,707,MKPR,10:58,PBGW DN,11:13,DN,15
253,709,KKDA DN,11:00,MKPR,11:38,DN,38
254,720,MKPR,11:00,KKDA UP,11:37,UP,37
255,723,PBGW DN,11:03,IPE,12:02,DN,59
256,711,IPE,11:03,KKDA DN,11:10,DN,7
257,724,PBGW UP,11:04,MKPR,11:19,UP,15
258,708,IPE,11:04,PBGW UP,12:04,UP,60
259,714,KKDA UP,11:07,IPE,11:14,UP,7
260,717,MKPR,11:08,PBGW DN,11:23,DN,15
261,722,MKPR,11:10,KKDA UP,11:47,UP,37
262,711,KKDA DN,11:10,MKPR,11:48,DN,38
263,703,IPE,11:12,KKDA DN,11:19,DN,7
264,707,PBGW DN,11:13,IPE,12:12,DN,59
265,714,IPE,11:14,PBGW UP,12:14,UP,60
266,706,PBGW UP,11:14,MKPR,11:29,UP,15
267,716,KKDA UP,11:17,IPE,11:24,UP,7
268,705,MKPR,11:18,PBGW DN,11:33,DN,15
269,703,KKDA DN,11:19,MKPR,11:56,DN,37
270,724,MKPR,11:20,KKDA UP,11:57,UP,37
271,713,IPE,11:22,KKDA DN,11:29,DN,7
272,717,PBGW DN,11:23,IPE,12:22,DN,59
273,702,PBGW UP,11:24,MKPR,11:39,UP,15
274,716,IPE,11:24,PBGW UP,12:24,UP,60
275,718,KKDA UP,11:27,IPE,11:34,UP,7
276,701,MKPR,11:28,PBGW DN,11:43,DN,15
277,713,KKDA DN,11:29,MKPR,12:06,DN,37
278,706,MKPR,11:30,KKDA UP,12:07,UP,37
279,719,IPE,11:32,KKDA DN,11:39,DN,7
