,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
309,706,MKPR,15:30,KKDA UP,16:07,UP,37
291,718,IPE,15:34,PBGW UP,16:34,UP,60
262,710,PBGW UP,15:34,MKPR,15:49,UP,15
295,720,KKDA UP,15:37,IPE,15:44,UP,7
314,702,MKPR,15:40,KKDA UP,16:17,UP,37
296,720,IPE,15:44,PBGW UP,16:44,UP,60
267,712,PBGW UP,15:44,MKPR,15:59,UP,15
300,722,KKDA UP,15:47,IPE,15:54,UP,7
319,710,MKPR,15:50,KKDA UP,16:27,UP,37
272,704,PBGW UP,15:54,MKPR,16:09,UP,15
301,722,IPE,15:54,PBGW UP,16:54,UP,60
305,724,KKDA UP,15:57,IPE,16:04,UP,7
324,712,MKPR,16:00,KKDA UP,16:37,UP,37
277,708,PBGW UP,16:04,MKPR,16:19,UP,15
306,724,IPE,16:04,PBGW UP,17:04,UP,60
310,706,KKDA UP,16:07,IPE,16:14,UP,7
329,704,MKPR,16:10,KKDA UP,16:47,UP,37
282,714,PBGW UP,16:14,MKPR,16:29,UP,15
311,706,IPE,16:14,PBGW UP,17:14,UP,60
315,702,KKDA UP,16:17,IPE,16:24,UP,7
334,708,MKPR,16:20,KKDA UP,16:57,UP,37
287,716,PBGW UP,16:24,MKPR,16:39,UP,15
316,702,IPE,16:24,PBGW UP,17:24,UP,60
320,710,KKDA UP,16:27,IPE,16:34,UP,7
339,714,MKPR,16:30,KKDA UP,17:07,UP,37
292,718,PBGW UP,16:34,MKPR,16:49,UP,15
321,710,IPE,16:34,PBGW UP,17:34,UP,60
325,712,KKDA UP,16:37,IPE,16:44,UP,7
344,716,MKPR,16:40,KKDA UP,17:17,UP,37
326,712,IPE,16:44,PBGW UP,17:44,UP,60
297,720,PBGW UP,16:44,MKPR,16:59,UP,15
330,704,KKDA UP,16:47,IPE,16:54,UP,7
349,718,MKPR,16:50,KKDA UP,17:27,UP,37
331,704,IPE,16:54,PBGW UP,17:54,UP,60
302,722,PBGW UP,16:54,MKPR,17:09,UP,15
335,708,KKDA UP,16:57,IPE,17:04,UP,7
354,720,MKPR,17:00,KKDA UP,17:37,UP,37
307,724,PBGW UP,17:04,MKPR,17:19,UP,15
336,708,IPE,17:04,PBGW UP,18:04,UP,60
340,714,KKDA UP,17:07,IPE,17:14,UP,7
359,722,MKPR,17:10,KKDA UP,17:47,UP,37
341,714,IPE,17:14,PBGW UP,18:14,UP,60
312,706,PBGW UP,17:14,MKPR,17:29,UP,15
345,716,KKDA UP,17:17,IPE,17:24,UP,7
364,724,MKPR,17:20,KKDA UP,17:57,UP,37
317,702,PBGW UP,17:24,MKPR,17:39,UP,15
346,716,IPE,17:24,PBGW UP,18:24,UP,60
350,718,KKDA UP,17:27,IPE,17:34,UP,7
369,706,MKPR,17:30,KKDA UP,18:07,UP,37
351,718,IPE,17:34,PBGW UP,18:34,UP,60
322,710,PBGW UP,17:34,MKPR,17:49,UP,15
355,720,KKDA UP,17:37,IPE,17:44,UP,7
374,702,MKPR,17:40,KKDA UP,18:17,UP,37
327,712,PBGW UP,17:44,MKPR,17:59,UP,15
356,720,IPE,17:44,PBGW UP,18:44,UP,60
360,722,KKDA UP,17:47,IPE,17:54,UP,7
379,710,MKPR,17:50,KKDA UP,18:27,UP,37
361,722,IPE,17:54,PBGW UP,18:54,UP,60
332,704,PBGW UP,17:54,MKPR,18:09,UP,15
365,724,KKDA UP,17:57,IPE,18:04,UP,7
384,712,MKPR,18:00,KKDA UP,18:37,UP,37
