,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
52,720,KKDA UP,15:37,PBGW UP,16:44,UP,67,no,No StepBack,No StepBack,477,481
148,701,PBGW DN,15:40,KKDA DN,16:46,DN,66,no,No StepBack,No StepBack,480,527
236,712,PBGW UP,15:44,KKDA UP,16:37,UP,53,no,No StepBack,No StepBack,482,495
331,721,KKDA DN,15:46,PBGW DN,16:39,DN,53,no,No StepBack,No StepBack,483,515
53,722,KKDA UP,15:47,PBGW UP,16:54,UP,67,no,No StepBack,No StepBack,485,490
149,709,PBGW DN,15:50,KKDA DN,16:56,DN,66,no,No StepBack,No StepBack,488,535
332,715,KKDA DN,15:56,PBGW DN,16:49,DN,53,no,No StepBack,No StepBack,492,523
54,724,KKDA UP,15:57,PBGW UP,17:04,UP,67,no,No StepBack,No StepBack,493,498
150,711,PBGW DN,16:00,KKDA DN,17:06,DN,66,no,No StepBack,No StepBack,496,542
237,708,PBGW UP,16:04,KKDA UP,16:57,UP,53,no,No StepBack,No StepBack,497,512
333,723,KKDA DN,16:06,PBGW DN,16:59,DN,53,no,No StepBack,No StepBack,500,531
55,706,KKDA UP,16:07,PBGW UP,17:14,UP,67,no,No StepBack,No StepBack,501,506
151,703,PBGW DN,16:09,KKDA DN,17:15,DN,66,no,No StepBack,No StepBack,503,550
238,714,PBGW UP,16:14,KKDA UP,17:07,UP,53,no,No StepBack,No StepBack,505,520
334,707,KKDA DN,16:16,PBGW DN,17:09,DN,53,no,No StepBack,No StepBack,508,539
56,702,KKDA UP,16:17,PBGW UP,17:24,UP,67,no,No StepBack,No StepBack,509,514
152,713,PBGW DN,16:19,KKDA DN,17:25,DN,66,no,No StepBack,No StepBack,511,558
239,716,PBGW UP,16:24,KKDA UP,17:17,UP,53,no,No StepBack,No StepBack,513,528
335,717,KKDA DN,16:26,PBGW DN,17:19,DN,53,no,No StepBack,No StepBack,516,547
57,710,KKDA UP,16:27,PBGW UP,17:34,UP,67,no,No StepBack,No StepBack,517,521
153,719,PBGW DN,16:29,KKDA DN,17:35,DN,66,no,No StepBack,No StepBack,518,566
240,718,PBGW UP,16:34,KKDA UP,17:27,UP,53,no,No StepBack,No StepBack,522,536
58,712,KKDA UP,16:37,PBGW UP,17:44,UP,67,no,No StepBack,No StepBack,525,529
154,721,PBGW DN,16:39,KKDA DN,17:45,DN,66,no,No StepBack,No StepBack,526,574
241,720,PBGW UP,16:44,KKDA UP,17:37,UP,53,no,No StepBack,No StepBack,530,544
336,701,KKDA DN,16:46,PBGW DN,17:39,DN,53,no,No StepBack,No StepBack,532,563
155,715,PBGW DN,16:49,KKDA DN,17:55,DN,66,no,No StepBack,No StepBack,534,582
242,722,PBGW UP,16:54,KKDA UP,17:47,UP,53,no,No StepBack,No StepBack,538,552
337,709,KKDA DN,16:56,PBGW DN,17:49,DN,53,no,No StepBack,No StepBack,540,572
59,708,KKDA UP,16:57,PBGW UP,18:04,UP,67,no,No StepBack,No StepBack,541,545
156,723,PBGW DN,16:59,KKDA DN,18:05,DN,66,no,No StepBack,No StepBack,543,590
